segment,residual_median,residual_mad,p01,p10,p90,p99,residual_scale
SYM | Attila | 2010-2014,-0.05347296529539469,1.1187489910934885,1.425,2.25,6.25,9.214999999999996,1.6586572541952058
SYM | Tay côn/Moto,-1.136305088448137,4.156002825473953,4.23,5.8500000000000005,19.549999999999997,24.31,6.161689789047682
SYM | Tay ga,-0.25206487575529746,1.4048611931715627,1.665,2.5,9.95,19.774999999999984,2.082847204996159
SYM | Xe số,-0.161516587544428,1.5309127556155324,1.347,2.1700000000000004,10.200000000000003,13.156999999999998,2.269731251475588
Suzuki | Hayate | 2010-2014,-0.418325791311112,0.8574060263736714,1.854,3.2,5.4,9.52,1.271190174701605
Suzuki | Raider | 2015-2019,0.42796432610875357,1.96021509830668,7.272,11.7,22.900000000000002,24.711999999999996,2.9062149047494836
Suzuki | Tay côn/Moto,-0.20288364314238017,4.828677129443143,4.5,9.25,122.5,281.3,7.158996712112404
Suzuki | Tay ga,-0.9794345023045006,2.1022865469735246,1.6039999999999999,2.54,16.6,40.261999999999944,3.1168500345429475
Suzuki | Xe số,-0.29965069558311797,3.860796945129671,1.767839,3.9,147.0,235.0,5.72401755084925
Tay côn/Moto | 100 - 175 cc,-4.182358377686568,3.546061615122799,3.951,5.0,38.2,71.99499999999998,5.257390950581061
Tay côn/Moto | Trên 175 cc,9.154614263516848,76.31964008658471,12.060122100000001,33.7,364.50000000000006,761.3799999999997,113.15149839237048
Tay ga | Dưới 50 cc,0.07876526759659441,1.6766009448536163,1.78,5.9,15.0,21.309999999999988,2.4857285608399713
Xe số | 50 - 100 cc,-0.4548218703766944,1.1593602341332172,1.161,2.3800000000000003,14.329999999999998,17.31,1.7188674831259076
Xe số | Dưới 50 cc,0.20430207729663685,1.3908693701577768,2.246,4.66,13.5,15.019999999999996,2.0621029281959196
Yamaha | Exciter | 2000-2009,8.759652787100435,7.827827778994912,12.515,27.1,59.54,67.07000000000001,11.605537465137855
Yamaha | Exciter | 2010-2014,0.3457598149526717,4.395719695277577,0.9135938800000001,10.120000000000001,47.19999999999999,68.33999999999992,6.517094020218536
Yamaha | Exciter | 2015-2019,-0.5350486989200238,2.675941610974986,1.51300176,13.5,26.82,40.0,3.967351032431514
Yamaha | Exciter | 2020-2025,1.1391349899659673,4.633760586528993,3.1274800000000003,21.9,37.1,323.79999999999967,6.870013445587885
Yamaha | Janus | 2015-2019,-0.6767203229638845,1.652925910179989,10.0,10.94,18.450000000000006,21.765,2.4506279544328513
Yamaha | Janus | 2020-2025,-2.2827432358234745,2.671474688657085,3.2685,13.3,26.400000000000002,27.74,3.960728373402994
Yamaha | Jupiter | 2000-2009,0.32994996974630464,1.9364685804218214,0.653168,3.2800000000000002,9.12,14.059999999999988,2.8710083173333922
Yamaha | Jupiter | 2010-2014,-0.30430907012067765,1.638313461587296,0.37815,2.85,9.9,11.175,2.428963538149325
Yamaha | Luvias | 2010-2014,0.6276792318141564,1.084504075432923,3.175,5.15,9.875,11.474999999999998,1.6078857422368515
Yamaha | Mio | 2000-2009,-0.5013616377191692,0.9864386839089301,1.56,3.86,12.099999999999998,17.987999999999992,1.4624939927633795
Yamaha | Mio | 2010-2014,0.375895088826383,0.9629939288141203,0.9773290000000001,3.77,7.5,9.541,1.4277347988598146
Yamaha | Nouvo | 2000-2009,-0.09020311704697481,0.7175950535008766,1.599,2.09,5.35,9.005000000000003,1.0639064263203997
Yamaha | Nouvo | 2010-2014,0.25461229542330877,1.1675248620899135,1.8639999999999999,3.0,7.59,9.090000000000003,1.7309723605345055
Yamaha | Nvx | 2015-2019,0.45435357300010537,1.9953737910345204,12.703,16.95,26.200000000000003,29.42,2.95834118258778
Yamaha | Sirius | 2000-2009,-0.4230448180025199,2.0757529554950676,1.4065599999999998,5.5,12.019999999999998,37.12000000000002,3.077511331816987
Yamaha | Sirius | 2010-2014,-0.03118704244599524,1.2475688815987862,2.678,3.68,10.170000000000002,13.829999999999998,1.8496456238583603
Yamaha | Sirius | 2015-2019,-0.11901494019731373,1.4271364047197226,1.38851814,5.780000000000001,11.600000000000001,16.25200000000001,2.1158724336374606
Yamaha | Sirius | 2020-2025,-0.6817634019052212,2.689739400771745,2.9000000000000004,9.9,17.5,20.259999999999998,3.987807635584189
Yamaha | Tay côn/Moto,3.746462772909103,7.005024754511107,4.885000000000001,16.87,76.49999999999999,471.5999999999991,10.385649701038167
Yamaha | Tay ga,0.8569543553841399,3.9995018955938093,1.6039999999999999,3.9,42.0,118.5999999999998,5.9296615104073815
Yamaha | Xe số,0.0912937383505974,3.079125561850702,1.091815,4.74,39.85,104.27000000000001,4.565111557999851
