feature,importance
segment_encoded_Yamaha | Sirius | 2020-2025,6.821897688104023e-05
model_encoded_Duke 200,6.420387390959216e-05
segment_encoded_Yamaha | Exciter | 2015-2019,6.409898597225552e-05
model_encoded_Grande,6.295662215640295e-05
model_encoded_Espero,6.215292933079198e-05
segment_encoded_Yamaha | Exciter | 2010-2014,5.973773670368012e-05
segment_encoded_Suzuki | Tay ga,5.962701307936158e-05
model_encoded_Wolf,5.885332116112537e-05
segment_encoded_Honda | Vision | 2010-2014,5.725403165652211e-05
model_encoded_Elizabeth,5.69985473688717e-05
model_encoded_FZ,5.4251279790913887e-05
segment_encoded_Yamaha | Nouvo | 2010-2014,5.411473677417296e-05
brand_encoded_Detech,5.29446224134326e-05
model_encoded_SCR,5.162106440113629e-05
segment_encoded_Honda | Wave | 2020-2025,5.012185953814017e-05
model_encoded_R,4.913430189527628e-05
segment_encoded_Piaggio | Tay ga,4.796319841674885e-05
segment_encoded_Hãng khác | Dòng khác | 2010-2014,4.725833467641261e-05
model_encoded_CD,4.602817953282302e-05
segment_encoded_Honda | Future | 2010-2014,4.553874906364487e-05
brand_encoded_Kengo,4.454413963773778e-05
model_encoded_TFX,4.428687086031931e-05
segment_encoded_Honda | 67 | Trước 2000,4.091901220722792e-05
capacity_encoded_Đang cập nhật,3.8812408591032326e-05
brand_encoded_RebelUSA,3.6637821443626575e-05
brand_encoded_Victory,3.612025525126732e-05
segment_encoded_Honda | Vision | 2020-2025,3.5996625628157156e-05
segment_encoded_Honda | Dylan | 2000-2009,3.59816980529307e-05
brand_encoded_Peugeot,3.5425179397245296e-05
model_encoded_Vespa S125,3.372714464842578e-05
model_encoded_Z650,3.2901428144694e-05
segment_encoded_Kawasaki | Tay côn/Moto,3.279504269191735e-05
segment_encoded_Honda | Blade | 2015-2019,2.982770405978864e-05
district_encoded_Huyện Cần Giờ,2.9497457801960622e-05
model_encoded_Raider,2.875064479465401e-05
model_encoded_Nozza,2.8538268627940147e-05
model_encoded_Husky,2.8523844355591597e-05
segment_encoded_Honda | Lead | 2010-2014,2.7967348037060006e-05
brand_encoded_Royal Enfield,2.7565565386128175e-05
model_encoded_ADV 160,2.751079776825764e-05
segment_encoded_Yamaha | Nvx | 2015-2019,2.7079208612191872e-05
segment_encoded_Honda | Cub | Trước 2000,2.6631048913703382e-05
model_encoded_GSX,2.638308996585213e-05
model_encoded_390,2.477953777782602e-05
model_encoded_Cello,2.3696482882848936e-05
model_encoded_Rebellian,2.2898263387946747e-05
model_encoded_Beat,2.2458464637611762e-05
model_encoded_Z900,2.168796401982045e-05
model_encoded_Star,2.1277854223612953e-05
segment_encoded_Yamaha | Jupiter | 2000-2009,2.1128126273663836e-05
model_encoded_Hypermotard,2.0190697225690223e-05
model_encoded_Primavera,2.018548699920437e-05
model_encoded_Revo,1.9990280518395147e-05
brand_encoded_Keeway,1.9973066467380655e-05
model_encoded_Beverly,1.992810451380281e-05
model_encoded_Taurus,1.9284918627340158e-05
model_encoded_Venus,1.8338008418699592e-05
segment_encoded_Honda | Dream | 2000-2009,1.7908318362408852e-05
segment_encoded_Honda | Air Blade | 2020-2025,1.7900740093283565e-05
model_encoded_EN,1.786231308078755e-05
segment_encoded_SYM | Attila | 2010-2014,1.7554061908296426e-05
model_encoded_MT,1.7239963996993022e-05
model_encoded_Multistrada,1.6140429387842663e-05
model_encoded_Nova,1.60820416300758e-05
model_encoded_Cuxi,1.5068760623064359e-05
model_encoded_Luvias,1.451954975258983e-05
model_encoded_Scrambler,1.4048829712354274e-05
model_encoded_Freego,1.3428879555351011e-05
model_encoded_Scoopy,1.2672405088779401e-05
segment_encoded_Honda | Vario | 2020-2025,1.0720795001325864e-05
model_encoded_Monster,1.0296946701377003e-05
segment_encoded_Honda | Winner X | 2015-2019,1.0047976777754446e-05
model_encoded_Angela,9.855995123937747e-06
model_encoded_RC 250,9.17242669647994e-06
segment_encoded_Honda | Lead | 2020-2025,8.52758362236734e-06
brand_encoded_Nioshima,7.719113553627728e-06
segment_encoded_Honda | Winner X | 2020-2025,7.543675539591187e-06
model_encoded_Triumph Bonneville T100,7.208557072439349e-06
model_encoded_Dylan,7.031049303096541e-06
model_encoded_Elegant,6.9145191564074305e-06
brand_encoded_Aprilia,6.072039763810067e-06
model_encoded_Ninja,5.975242320681761e-06
model_encoded_LX,5.308247599886016e-06
model_encoded_Medley,5.148334324515547e-06
model_encoded_Xbike,5.0824106733685516e-06
model_encoded_ADV 150,4.862214044568135e-06
segment_encoded_Yamaha | Sirius | 2010-2014,4.746717387654363e-06
model_encoded_Giorno,4.724847152504235e-06
model_encoded_Acruzo,4.485595223148314e-06
brand_encoded_Kymco,4.285133025040866e-06
model_encoded_Amigo,4.254319526553144e-06
model_encoded_Street Scramber,4.201638070031892e-06
model_encoded_Viva,4.192678319529784e-06
model_encoded_S1000RR,3.909022381250118e-06
model_encoded_Enjoy,3.5671894677678103e-06
model_encoded_GD,3.3295273975708386e-06
segment_encoded_Xe số | Dưới 50 cc,3.1257947804237146e-06
model_encoded_Fat Boy,2.896666231074151e-06
model_encoded_Sanda Boss,2.766905322665358e-06
model_encoded_GN,2.4806219834511723e-06
segment_encoded_Suzuki | Raider | 2015-2019,2.423687833346567e-06
brand_encoded_Hyosung,2.118379380563264e-06
model_encoded_FX125,2.0876230570821302e-06
brand_encoded_Halim,1.3895061978226697e-06
model_encoded_Duke 390,1.175044947351773e-06
segment_encoded_Yamaha | Janus | 2020-2025,1.1702188123618926e-06
model_encoded_Elite,1.1358704872177923e-06
model_encoded_Street Triple,7.994620543962691e-07
segment_encoded_Xe số | 50 - 100 cc,5.670502202253871e-07
model_encoded_MSX 125,3.9608492639422513e-07
model_encoded_Legend Gentleman 200,3.6186545774125297e-07
model_encoded_Demon X 125cc,1.319997430096696e-07
brand_encoded_Daelim,1.2740822294094498e-07
model_encoded_Sportster,1.0502665065490703e-07
model_encoded_ST,6.457257500938093e-08
model_encoded_People 16 Fi,0.0
model_encoded_R1200,0.0
model_encoded_ET8,0.0
segment_encoded_Honda | PCX | 2010-2014,0.0
segment_encoded_Yamaha | Mio | 2010-2014,0.0
segment_encoded_Honda | Click | 2010-2014,0.0
model_encoded_Like Fi,0.0
model_encoded_Feliz S,0.0
model_encoded_Jockey Fi,0.0
model_encoded_Latte,0.0
brand_encoded_Brixton,0.0
capacity_encoded___unknown,0.0
bike_type_encoded___unknown,0.0
model_encoded___unknown,0.0
model_encoded_dòng khác,0.0
model_encoded_Z125,0.0
model_encoded_Z300,0.0
model_encoded_Vento S,0.0
model_encoded_VS125,0.0
model_encoded_Sapphire,0.0
model_encoded_V-Rod,0.0
model_encoded_Tracer,0.0
model_encoded_T15,0.0
model_encoded_MadAss,0.0
model_encoded_Pepe,0.0
model_encoded_RC 200,0.0
model_encoded_SR 125,0.0
model_encoded_Like MMC,0.0
model_encoded_Demon 150GR,0.0
model_encoded_Bullet 500,0.0
model_encoded_CDR,0.0
model_encoded_Bonus,0.0
model_encoded_BX 125,0.0
model_encoded_2015 RSV4 R APRC ABS,0.0
model_encoded_BN 302,0.0
model_encoded_Django,0.0
model_encoded_Demon 150GN,0.0
origin_encoded___unknown,0.0
model_encoded_Candy S,0.0
origin_encoded_Bảo hành hãng,0.0
model_encoded_SR GT 200,0.0
model_encoded_Smash,0.0
model_encoded_Z800,0.0
district_encoded___unknown,0.0
model_encoded_Candy Hi,0.0
model_encoded_CG125Fi,0.0
model_encoded_Citi,0.0
model_encoded_EZ,0.0
model_encoded_Impulse,0.0
model_encoded_K-Pipe,0.0
model_encoded_Rebell,0.0
model_encoded_Rock,0.0
model_encoded_Magic,0.0
model_encoded_BX 150,0.0
model_encoded_Joyride,0.0
model_encoded_Nio Fi 50cc,0.0
model_encoded_125/250,0.0
model_encoded_1290 Super Duke R,0.0
model_encoded_1199 panigale,0.0
model_encoded_Diavel,0.0
model_encoded_Max,0.0
brand_encoded_CR&S,0.0
brand_encoded_VinFast,0.0
segment_encoded_Yamaha | Mio | 2000-2009,0.0
segment_encoded_Honda | Lead | 2015-2019,0.0
brand_encoded_Sanda,0.0
segment_encoded_Yamaha | Janus | 2015-2019,0.0
brand_encoded___unknown,0.0
brand_encoded_Moto Guzzi,0.0
brand_encoded_Sachs,0.0
segment_encoded_Suzuki | Hayate | 2010-2014,0.0
segment_encoded_Yamaha | Luvias | 2010-2014,0.0
segment_encoded_Yamaha | Sirius | 2000-2009,0.0
segment_encoded_Yamaha | Jupiter | 2010-2014,0.0
segment_encoded___unknown,0.0
